#Parameter	median	upper	lower	3sig_low	3sig_up
teff	3843.2123	31.0351	51.3030	3791.9093	3874.2474
logg	4.5899	0.2306	0.1599	4.4300	4.8205
[Fe/H]	-0.0613	0.1534	0.2383	-0.2995	0.0921
dist	6.3345	0.0075	0.0083	6.3263	6.3420
rad	0.6619	0.0194	0.0204	0.6415	0.6814
Av	0.0000	(FIXED)
grav_mass	0.6158	0.3659	0.2130	0.4028	0.9818
lum	0.0852	0.0063	0.0063	0.0789	0.0915
AD	0.9739	0.0264	0.0319	0.9420	1.0002
age	4.7873	6.5818	4.7786	0.0087	13.442861702819005
iso_mas	0.6666	0.0350	0.0519	0.4281	0.7450712815745806
eep	326.5967	15.7003	47.1010	148.0055	342.95115397778113
U_noise	0.5004	0.4385	0.2163	0.2841	0.9389
V_noise	0.0327	0.0614	0.0245	0.0082	0.0941
B_noise	0.0562	0.0818	0.0365	0.0197	0.1380
BT_noise	0.1071	0.1247	0.0697	0.0374	0.2318
VT_noise	0.0455	0.0688	0.0283	0.0172	0.1143
b_noise	0.0648	0.0632	0.0425	0.0224	0.1281
u_noise	0.4815	0.0750	0.0712	0.4103	0.5565
v_noise	0.1769	0.0597	0.0472	0.1297	0.2366
y_noise	0.0391	0.0528	0.0268	0.0122	0.0918
G_noise	0.0032	0.0033	0.0019	0.0012	0.0064
RP_noise	0.0065	0.0090	0.0041	0.0024	0.0155
BP_noise	0.0096	0.0127	0.0054	0.0042	0.0224
