#Parameter	median	upper	lower	3sig_low	3sig_up
teff	3903.6569	52.8654	245.2366	3658.4203	3956.5222
logg	4.6090	0.2958	0.2458	4.3631	4.9047
[Fe/H]	-0.0234	0.2015	0.3648	-0.3882	0.1781
dist	6.3355	0.0087	0.0118	6.3236	6.3442
rad	0.6259	0.1429	0.0272	0.5987	0.7689
Av	0.0000	(FIXED)
grav_mass	0.5347	0.5715	0.2308	0.3039	1.1062
lum	0.0815	0.0314	0.0212	0.0602	0.1128
AD	0.9195	0.2093	0.0401	0.8794	1.1289
age	4.7873	6.5818	4.7786	0.0087	11.3691
iso_mass	0.6666	0.0350	0.0519	0.6147	0.7016
eep	326.5967	15.7003	47.1010	279.4957	342.2970
U_noise	0.4109	0.6113	0.2162	0.1947	1.0223
V_noise	0.0259	0.0768	0.0291	-0.0032	0.1027
B_noise	0.0432	0.1117	0.0462	-0.0030	0.1549
BT_noise	0.0705	0.1760	0.0631	0.0074	0.2465
VT_noise	0.0239	0.1163	0.0291	-0.0052	0.1403
b_noise	0.0453	0.0971	0.0373	0.0080	0.1424
u_noise	0.5061	0.0949	0.1508	0.3553	0.6011
v_noise	0.1732	0.0805	0.0595	0.1138	0.2537
y_noise	0.0382	0.0632	0.0395	-0.0012	0.1014
G_noise	0.0016	0.0062	0.0015	0.0001	0.0077
RP_noise	0.0041	0.0143	0.0045	-0.0005	0.0184
BP_noise	0.0062	0.0209	0.0062	-0.0001	0.0271
