#Parameter	median	upper	lower	3sig_low	3sig_up
teff	3959.6585	57.1703	221.7515	3737.9071	4016.8288
logg	4.5519	0.1357	0.4810	4.0710	4.6876
[Fe/H]	0.1272	0.3690	0.2599	-0.1327	0.4962
dist	6.3351	0.0092	0.0113	6.3238	6.3443
rad	0.5692	0.1172	0.0364	0.5328	0.6864
Av	0.0000	(FIXED)
grav_mass	0.3008	0.3199	0.1777	0.1231	0.6207
lum	0.0715	0.0282	0.0166	0.0549	0.0997
AD	0.8368	0.1697	0.0549	0.7819	1.0065
age	4.3340	7.6656	3.9681	0.0052	13.442499488135203
iso_mas	0.6298	0.0698	0.0870	0.4240	0.7902388484006043
eep	326.6790	13.4270	46.6412	135.1674	346.466208450943
U_noise	0.4439	0.4845	0.1914	0.2526	0.9284
V_noise	0.0554	0.1211	0.0427	0.0127	0.1765
B_noise	0.0415	0.1326	0.0345	0.0070	0.1741
BT_noise	0.1079	0.1354	0.1011	0.0068	0.2433
VT_noise	0.0792	0.0871	0.0629	0.0163	0.1662
b_noise	0.0161	0.1130	0.0160	0.0001	0.1290
u_noise	0.3392	0.1640	0.0552	0.2840	0.5033
v_noise	0.1295	0.1036	0.0380	0.0915	0.2331
y_noise	0.0538	0.0565	0.0502	0.0036	0.1103
