#Parameter	median	upper	lower	3sig_low	3sig_up
teff	3949.3344	79.7445	205.4026	3743.9318	4029.0789
logg	4.5309	0.1766	0.4217	4.1092	4.7075
[Fe/H]	0.1523	0.3774	0.2713	-0.1190	0.5297
dist	6.3360	0.0089	0.0132	6.3228	6.3449
rad	0.5719	0.1288	0.0456	0.5263	0.7007
Av	0.0000	(FIXED)
grav_mass	0.3025	0.3269	0.1937	0.1088	0.6294
lum	0.0702	0.0325	0.0174	0.0528	0.1028
AD	0.8393	0.1891	0.0669	0.7724	1.0284
age	4.3340	7.6656	3.9681	0.3660	11.9996
iso_mass	0.6298	0.0698	0.0870	0.5428	0.6996
eep	326.6790	13.4270	46.6412	280.0378	340.1060
U_noise	0.4421	0.5125	0.2154	0.2267	0.9546
V_noise	0.0564	0.1118	0.0495	0.0069	0.1682
B_noise	0.0453	0.1384	0.0451	0.0002	0.1838
BT_noise	0.0809	0.1747	0.0825	-0.0016	0.2556
VT_noise	0.0790	0.0946	0.0691	0.0099	0.1736
b_noise	0.0237	0.1135	0.0303	-0.0066	0.1372
u_noise	0.3369	0.1675	0.0626	0.2743	0.5044
v_noise	0.1495	0.0896	0.0638	0.0858	0.2391
y_noise	0.0524	0.0625	0.0544	-0.0020	0.1149
