#Parameter	median	upper	lower	3sig_low	3sig_up
teff	3855.1322	43.3077	47.5675	3807.5648	3898.4399
logg	4.5906	0.1375	0.1350	4.4556	4.7282
[Fe/H]	-0.1354	0.1513	0.1806	-0.3160	0.0160
dist	6.3324	0.0072	0.0072	6.3251	6.3396
rad	0.6272	0.0144	0.0131	0.6141	0.6416
Av	0.0235	0.0318	0.0302	-0.0067	0.0553
grav_mass	0.5391	0.2082	0.1453	0.3937	0.7472
lum	0.0783	0.0048	0.0050	0.0733	0.0832
AD	0.9208	0.0215	0.0190	0.9018	0.9423
age	6.0459	6.3537	5.3623	0.0527	13.48102543777134
iso_mas	0.6390	0.0213	0.0239	0.3088	0.6842327722992061
eep	326.5278	10.0976	42.4101	162.9460	337.2985821142657
U_noise	0.1894	0.2633	0.1282	0.0612	0.4527
V_noise	0.0691	0.0514	0.0330	0.0361	0.1205
B_noise	0.0852	0.0581	0.0357	0.0496	0.1433
BT_noise	0.1312	0.1077	0.0604	0.0709	0.2389
VT_noise	0.0452	0.0540	0.0317	0.0135	0.0992
b_noise	0.0487	0.0333	0.0258	0.0229	0.0820
u_noise	0.4363	0.0525	0.0416	0.3947	0.4887
v_noise	0.1322	0.0306	0.0223	0.1099	0.1629
y_noise	0.0270	0.0284	0.0155	0.0115	0.0554
G_noise	0.0026	0.0023	0.0015	0.0012	0.0049
RP_noise	0.0044	0.0049	0.0028	0.0017	0.0093
BP_noise	0.0114	0.0074	0.0064	0.0049	0.0187
TESS_noise	0.2041	0.1631	0.0928	0.1112	0.3671
