#Parameter	median	upper	lower	3sig_low	3sig_up
teff	3872.4322	54.2127	101.6488	3770.7834	3926.6449
logg	4.5762	0.2529	0.2179	4.3583	4.8291
[Fe/H]	-0.0428	0.1443	0.4140	-0.4568	0.1015
dist	6.3307	0.0141	0.0103	6.3204	6.3447
rad	0.6194	0.0334	0.0136	0.6058	0.6528
Av	0.0258	0.0515	0.0524	-0.0265	0.0773
grav_mass	0.4991	0.3749	0.2066	0.2925	0.8739
lum	0.0781	0.0087	0.0083	0.0699	0.0868
AD	0.9098	0.0490	0.0205	0.8893	0.9589
age	6.0459	6.3537	5.3623	0.6836	12.3996
iso_mass	0.6390	0.0213	0.0239	0.6152	0.6604
eep	326.5278	10.0976	42.4101	284.1177	336.6254
U_noise	0.0823	0.4264	0.0955	-0.0131	0.5088
V_noise	0.0516	0.0873	0.0382	0.0134	0.1390
B_noise	0.0786	0.0879	0.0566	0.0220	0.1665
BT_noise	0.0975	0.1789	0.0732	0.0243	0.2764
VT_noise	0.0201	0.0914	0.0240	-0.0040	0.1115
b_noise	0.0450	0.0560	0.0428	0.0021	0.1010
u_noise	0.4362	0.0811	0.0754	0.3607	0.5173
v_noise	0.1291	0.0509	0.0356	0.0935	0.1800
y_noise	0.0180	0.0461	0.0174	0.0006	0.0641
G_noise	0.0019	0.0042	0.0018	0.0001	0.0062
RP_noise	0.0024	0.0087	0.0025	-0.0001	0.0111
BP_noise	0.0079	0.0153	0.0075	0.0003	0.0231
TESS_noise	0.1392	0.2900	0.0909	0.0483	0.4292
