#Parameter	median	upper	lower	3sig_low	3sig_up
teff	3929.7656	91.4633	123.7445	3806.0210	4021.2289
logg	4.2356	0.3379	0.3263	3.9093	4.5735
[Fe/H]	0.0409	0.1655	0.1465	-0.1056	0.2063
dist	6.3315	0.0073	0.0067	6.3247	6.3387
rad	0.5548	0.0904	0.0533	0.5015	0.6453
Av	0.0000	(FIXED)
grav_mass	0.1659	0.2138	0.0939	0.0720	0.3797
lum	0.0649	0.0234	0.0138	0.0511	0.0882
AD	0.8156	0.1330	0.0785	0.7371	0.9486
age	2.3486	9.0648	2.3451	0.0035	13.442889074736145
iso_mas	0.6067	0.0563	0.0508	0.4235	0.7446444143923789
eep	323.9034	15.2729	49.4551	130.4466	347.1763609489099
U_noise	0.3019	0.2665	0.1429	0.1590	0.5684
V_noise	0.1361	0.0582	0.0473	0.0888	0.1942
B_noise	0.1194	0.0593	0.0389	0.0804	0.1786
BT_noise	0.0767	0.1245	0.0516	0.0251	0.2012
VT_noise	0.1172	0.0673	0.0487	0.0685	0.1845
b_noise	0.0318	0.0335	0.0205	0.0113	0.0653
u_noise	0.3755	0.0621	0.0506	0.3249	0.4376
v_noise	0.1114	0.0337	0.0275	0.0839	0.1451
y_noise	0.0853	0.0297	0.0331	0.0522	0.1150
