#Parameter	median	upper	lower	3sig_low	3sig_up
teff	3966.5542	135.2269	222.8740	3743.6802	4101.7811
logg	4.1591	0.6109	0.4525	3.7066	4.7699
[Fe/H]	0.0157	0.3067	0.2087	-0.1930	0.3223
dist	6.3310	0.0126	0.0109	6.3201	6.3436
rad	0.5305	0.1544	0.0764	0.4541	0.6849
Av	0.0000	(FIXED)
grav_mass	0.1375	0.1987	0.1324	0.0051	0.3362
lum	0.0604	0.0392	0.0201	0.0403	0.0995
AD	0.7794	0.2290	0.1121	0.6673	1.0085
age	2.3486	9.0648	2.3451	0.0035	11.4134
iso_mass	0.6067	0.0563	0.0508	0.5559	0.6630
eep	323.9034	15.2729	49.4551	274.4482	339.1763
U_noise	0.2192	0.4495	0.1715	0.0477	0.6687
V_noise	0.1144	0.1128	0.0600	0.0544	0.2272
B_noise	0.1051	0.1033	0.0550	0.0501	0.2083
BT_noise	0.0444	0.1859	0.0542	-0.0098	0.2303
VT_noise	0.1031	0.1160	0.0737	0.0294	0.2191
b_noise	0.0142	0.0647	0.0160	-0.0018	0.0789
u_noise	0.3584	0.1195	0.0745	0.2839	0.4779
v_noise	0.1043	0.0603	0.0386	0.0656	0.1646
y_noise	0.0845	0.0472	0.0565	0.0280	0.1317
