#Parameter	median	upper	lower	3sig_low	3sig_up
teff	3976.4502	67.4216	58.6656	3917.7846	4043.8718
logg	4.7573	0.3999	0.3163	4.4410	5.1572
[Fe/H]	-0.0504	0.1789	0.2612	-0.3117	0.1285
dist	4.8681	0.0051	0.0054	4.8628	4.8733
rad	0.7127	0.0301	0.0199	0.6928	0.7427
Av	-0.0149	0.0623	0.0490	-0.0639	0.0475
grav_mass	0.9811	1.1145	0.5838	0.3974	2.0956
lum	0.1149	0.0124	0.0095	0.1054	0.1273
AD	1.3619	0.0571	0.0384	1.3236	1.4191
age	8.4361	3.4698	8.4265	0.0096	13.43799486017507
iso_mas	0.6773	0.0280	0.0521	0.4601	0.7486919367042786
eep	330.2556	14.2369	45.2992	151.0002	344.4924777697866
H_noise	0.3369	1.5575	0.3115	0.0254	1.8944
J_noise	0.4452	2.0329	0.4405	0.0048	2.4782
Ks_noise	0.4058	1.5966	0.3992	0.0066	2.0024
U_noise	0.0611	0.1640	0.0521	0.0090	0.2251
V_noise	0.0207	0.0277	0.0171	0.0036	0.0484
B_noise	0.0231	0.0671	0.0188	0.0043	0.0902
BT_noise	0.1087	0.1186	0.0651	0.0436	0.2273
VT_noise	0.0239	0.0745	0.0205	0.0034	0.0985
b_noise	0.0692	0.2438	0.0585	0.0106	0.3130
u_noise	1.0958	0.5047	0.2950	0.8008	1.6005
v_noise	0.3145	0.3231	0.1441	0.1704	0.6376
y_noise	0.0506	0.1910	0.0461	0.0045	0.2415
G_noise	0.0039	0.0066	0.0032	0.0007	0.0105
RP_noise	0.0132	0.0141	0.0093	0.0039	0.0273
BP_noise	0.0136	0.0177	0.0121	0.0016	0.0313
FUV_noise	0.8657	0.6840	0.3715	0.4942	1.5497
NUV_noise	0.2783	0.0894	0.0563	0.2219	0.3677
TESS_noise	0.5321	0.8147	0.3333	0.1988	1.3468
