#Parameter	median	upper	lower	3sig_low	3sig_up
teff	3324.1134	280.3090	60.6074	3263.5060	3604.4224
logg	4.8073	0.1489	0.1006	4.7068	4.9562
[Fe/H]	0.1064	0.4128	0.3368	-0.2304	0.5192
dist	4.5502	0.0045	0.0052	4.5451	4.5547
rad	0.4579	0.0192	0.0887	0.3692	0.4771
Av	0.0000	(FIXED)
grav_mass	0.4486	0.2051	0.1641	0.2845	0.6536
lum	0.0229	0.0078	0.0081	0.0148	0.0306
AD	0.9357	0.0393	0.1806	0.7551	0.9750
age	3.4357	9.0159	2.5695	0.8662	12.4516
iso_mass	0.4591	0.0350	0.0414	0.4176	0.4940
eep	311.8596	9.6461	41.3405	270.5191	321.5057
J_noise	0.0517	0.1586	0.0581	-0.0064	0.2103
Ks_noise	0.0785	0.1681	0.0762	0.0023	0.2466
V_noise	0.0272	0.1757	0.0326	-0.0054	0.2029
B_noise	0.0533	0.1679	0.0534	-0.0001	0.2212
BT_noise	0.1746	0.6579	0.1845	-0.0099	0.8325
VT_noise	0.0358	0.1783	0.0430	-0.0072	0.2141
G_noise	0.0054	0.0109	0.0054	0.0000	0.0163
RP_noise	0.0305	0.0218	0.0141	0.0165	0.0523
BP_noise	0.0620	0.0307	0.0625	-0.0006	0.0927
