#Parameter	median	upper	lower	3sig_low	3sig_up
teff	3760.2442	245.0432	129.4568	3630.7874	4005.2874
logg	4.9226	0.2328	0.3358	4.5869	5.1554
[Fe/H]	-0.0512	0.3106	0.3313	-0.3825	0.2594
dist	4.5489	0.0057	0.0047	4.5442	4.5545
rad	0.2523	0.0402	0.0648	0.1875	0.2924
Av	0.0000	(FIXED)
grav_mass	0.1268	0.1621	0.0740	0.0528	0.2889
lum	0.0110	0.0059	0.0050	0.0060	0.0168
AD	0.5173	0.0802	0.1343	0.3830	0.5975
age	2.0976	9.8603	1.8460	0.2516	11.9579
iso_mass	0.4222	0.0513	0.0226	0.3996	0.4735
eep	308.8324	10.9658	48.4804	260.3520	319.7982
J_noise	0.3233	0.1662	0.1284	0.1949	0.4895
Ks_noise	0.3132	0.1760	0.1241	0.1891	0.4892
V_noise	0.0528	0.1189	0.0552	-0.0023	0.1717
B_noise	0.0633	0.1396	0.0653	-0.0020	0.2029
BT_noise	0.2571	0.4717	0.2162	0.0410	0.7288
VT_noise	0.0556	0.1888	0.0638	-0.0082	0.2444
