#Parameter	median	upper	lower	3sig_low	3sig_up
teff	3649.8658	79.9366	51.7237	3598.1421	3729.8023
logg	4.6645	0.2103	0.2398	4.4247	4.8748
[Fe/H]	0.0976	0.1477	0.1504	-0.0527	0.2453
dist	6.8656	0.0078	0.0077	6.8579	6.8735
rad	0.5707	0.0277	0.0424	0.5283	0.5984
Av	0.0000	(FIXED)
grav_mass	0.4756	0.3276	0.2106	0.2651	0.8032
lum	0.0523	0.0069	0.0083	0.0440	0.0592
AD	0.7731	0.0375	0.0573	0.7157	0.8106
age	3.2105	8.6972	3.0643	0.0110	13.439853270391112
iso_mas	0.5807	0.0337	0.0247	0.3378	0.6492559636690463
eep	320.2964	13.0612	47.8911	149.2569	334.6015624750778
J_noise	0.1121	0.0992	0.0666	0.0455	0.2114
Ks_noise	0.0942	0.0784	0.0507	0.0435	0.1726
U_noise	0.0812	0.0769	0.0488	0.0324	0.1581
V_noise	0.0653	0.0761	0.0428	0.0225	0.1415
B_noise	0.0534	0.0367	0.0264	0.0271	0.0901
BT_noise	0.2215	0.1585	0.1065	0.1150	0.3800
VT_noise	0.0912	0.1109	0.0554	0.0358	0.2021
W1_noise	1.0087	1.8810	0.7857	0.2230	2.8898
W2_noise	0.3151	0.3604	0.1880	0.1271	0.6754
