#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4849.3333	174.6514	99.8008	4749.5325	5023.9847
logg	4.4655	0.4342	0.4114	4.0542	4.8997
[Fe/H]	-0.0018	0.2583	0.3987	-0.4006	0.2564
dist	9.5903	0.0754	0.0964	9.4939	9.6658
rad	1.2231	0.0863	0.1140	1.1091	1.3094
Av	0.0000	(FIXED)
grav_mass	1.1375	2.0765	0.7597	0.3779	3.2141
lum	0.7352	0.1712	0.1328	0.6024	0.9064
AD	1.1935	0.0798	0.1171	1.0764	1.2733
age	8.3927	4.4181	7.4837	0.9090	12.8108
iso_mass	0.9040	0.0891	0.0698	0.8343	0.9931
eep	381.9494	18.0643	62.7948	319.1546	400.0137
H_noise	0.7622	1.9832	0.5950	0.1673	2.7454
J_noise	0.5673	1.9176	0.5927	-0.0254	2.4849
U_noise	0.3271	0.2262	0.1370	0.1901	0.5533
V_noise	0.0098	0.0315	0.0106	-0.0008	0.0412
B_noise	0.0851	0.0334	0.0233	0.0618	0.1186
BT_noise	0.1522	0.1172	0.0611	0.0910	0.2693
VT_noise	0.0167	0.0668	0.0205	-0.0037	0.0836
b_noise	0.0526	0.2544	0.0678	-0.0152	0.3070
u_noise	0.8424	0.9582	0.4491	0.3932	1.8005
v_noise	0.1736	0.5717	0.1826	-0.0091	0.7452
y_noise	0.0467	0.0546	0.0313	0.0154	0.1014
W1_noise	1.0627	2.8434	1.1187	-0.0561	3.9060
W2_noise	0.5525	2.7284	0.7556	-0.2031	3.2809
NUV_noise	0.0250	0.0613	0.0248	0.0002	0.0863
