#Parameter	median	upper	lower	3sig_low	3sig_up
teff	5748.7441	148.5387	128.5858	5620.1583	5897.2828
logg	4.3288	0.3442	0.2754	4.0534	4.6730
[Fe/H]	0.0015	0.2908	0.2492	-0.2477	0.2923
dist	14.0984	0.1773	0.1423	13.9561	14.2757
rad	1.0397	0.0654	0.0534	0.9863	1.1050
Av	0.0000	(FIXED)
grav_mass	0.7725	0.7781	0.4272	0.3454	1.5506
lum	1.0790	0.1634	0.1546	0.9244	1.2423
AD	0.6827	0.0458	0.0340	0.6488	0.7285
age	1.3705	9.4479	1.1697	0.2007	10.8184
iso_mass	0.9935	0.1487	0.0919	0.9016	1.1422
eep	404.8579	21.1256	91.5441	313.3138	425.9835
H_noise	0.2945	1.2452	0.3697	-0.0751	1.5398
U_noise	0.0554	0.2000	0.0644	-0.0090	0.2554
V_noise	0.0109	0.0341	0.0119	-0.0010	0.0450
B_noise	0.0245	0.0380	0.0239	0.0006	0.0624
BT_noise	0.0286	0.1313	0.0366	-0.0080	0.1599
VT_noise	0.0140	0.0647	0.0173	-0.0033	0.0787
b_noise	0.0303	0.1299	0.0383	-0.0080	0.1602
u_noise	0.7838	0.2142	0.1768	0.6070	0.9980
v_noise	0.1256	0.1789	0.0756	0.0500	0.3045
y_noise	0.0328	0.1193	0.0356	-0.0028	0.1522
G_noise	0.0107	0.0175	0.0107	0.0001	0.0283
RP_noise	0.0235	0.0326	0.0235	-0.0001	0.0561
BP_noise	0.0079	0.0205	0.0082	-0.0003	0.0285
