#Parameter	median	upper	lower	3sig_low	3sig_up
teff	5796.1466	83.7735	94.2452	5701.9014	5879.9200
logg	4.3227	0.3105	0.3450	3.9777	4.6331
[Fe/H]	0.0623	0.1545	0.1624	-0.1001	0.2168
dist	14.1314	0.0983	0.1071	14.0244	14.2297
rad	1.0276	0.0345	0.0289	0.9987	1.0621
Av	0.0034	0.0366	0.0447	-0.0413	0.0400
grav_mass	0.6459	0.7493	0.3643	0.2816	1.3952
lum	1.0687	0.1038	0.0862	0.9825	1.1725
AD	0.6759	0.0236	0.0191	0.6567	0.6994
age	2.3386	4.4804	1.9628	0.0345	12.750129200813937
iso_mas	1.0435	0.0752	0.0870	0.8424	1.1939705742002555
eep	345.4421	40.9593	32.9137	205.0103	423.7036499164098
H_noise	0.4655	0.7892	0.3105	0.1550	1.2546
U_noise	0.0769	0.1184	0.0484	0.0285	0.1953
V_noise	0.0170	0.0203	0.0103	0.0066	0.0373
B_noise	0.0223	0.0218	0.0122	0.0100	0.0441
BT_noise	0.0447	0.0649	0.0297	0.0149	0.1096
VT_noise	0.0227	0.0413	0.0154	0.0073	0.0639
b_noise	0.0519	0.0834	0.0345	0.0173	0.1353
u_noise	0.7929	0.1431	0.1029	0.6900	0.9360
v_noise	0.1613	0.1117	0.0612	0.1001	0.2730
y_noise	0.0545	0.0720	0.0332	0.0213	0.1265
G_noise	0.0255	0.0094	0.0073	0.0183	0.0349
RP_noise	0.0186	0.0221	0.0113	0.0073	0.0407
BP_noise	0.0106	0.0131	0.0067	0.0040	0.0237
TESS_noise	0.0250	0.0352	0.0156	0.0094	0.0602
