#Parameter	median	upper	lower	3sig_low	3sig_up
teff	5805.9714	136.4039	170.5049	5635.4666	5942.3753
logg	4.2804	0.5736	0.4999	3.7805	4.8540
[Fe/H]	0.0778	0.2365	0.2729	-0.1950	0.3143
dist	14.1314	0.1586	0.1688	13.9626	14.2899
rad	1.0192	0.0643	0.0429	0.9764	1.0835
Av	0.0071	0.0589	0.0741	-0.0670	0.0660
grav_mass	0.4715	1.2511	0.3519	0.1197	1.7226
lum	1.0677	0.1729	0.1564	0.9113	1.2406
AD	0.6716	0.0425	0.0299	0.6417	0.7141
age	2.3386	4.4804	1.9628	0.3758	6.8190
iso_mass	1.0435	0.0752	0.0870	0.9565	1.1187
eep	345.4421	40.9593	32.9137	312.5284	386.4014
H_noise	0.2342	1.1970	0.3096	-0.0754	1.4311
U_noise	0.0422	0.1822	0.0497	-0.0075	0.2245
V_noise	0.0109	0.0323	0.0113	-0.0004	0.0432
B_noise	0.0147	0.0399	0.0150	-0.0003	0.0546
BT_noise	0.0208	0.1051	0.0267	-0.0059	0.1259
VT_noise	0.0113	0.0604	0.0151	-0.0038	0.0717
b_noise	0.0283	0.1233	0.0342	-0.0059	0.1516
u_noise	0.7801	0.2262	0.1659	0.6142	1.0063
v_noise	0.1376	0.1772	0.0823	0.0552	0.3148
y_noise	0.0324	0.1165	0.0355	-0.0031	0.1490
G_noise	0.0244	0.0156	0.0108	0.0136	0.0400
RP_noise	0.0098	0.0396	0.0109	-0.0011	0.0494
BP_noise	0.0056	0.0223	0.0061	-0.0005	0.0280
TESS_noise	0.0118	0.0602	0.0143	-0.0025	0.0720
