#Parameter	median	upper	lower	3sig_low	3sig_up
teff	6201.0093	90.8979	101.3861	6099.6232	6291.9072
logg	4.0125	0.2514	0.2244	3.7880	4.2638
[Fe/H]	-0.0970	0.1478	0.1507	-0.2476	0.0508
dist	13.4349	0.2270	0.2350	13.2000	13.6620
rad	1.5691	0.0784	0.0678	1.5012	1.6474
Av	0.0000	(FIXED)
grav_mass	0.8611	0.6398	0.3755	0.4856	1.5009
lum	3.2615	0.4010	0.3354	2.9261	3.6625
AD	1.0876	0.0560	0.0519	1.0357	1.1436
age	3.6804	2.9457	1.9099	0.0225	9.668995234288708
iso_mas	1.2393	0.0957	0.2116	0.8916	1.6449110288088387
eep	441.3865	15.1962	93.7100	209.2221	461.64816445818303
H_noise	0.7019	1.0123	0.4828	0.2191	1.7142
J_noise	0.9269	1.1750	0.6483	0.2786	2.1019
Ks_noise	0.7990	1.1543	0.5298	0.2692	1.9533
U_noise	0.0719	0.0695	0.0431	0.0288	0.1414
V_noise	0.0214	0.0193	0.0125	0.0089	0.0407
B_noise	0.0232	0.0205	0.0137	0.0096	0.0437
BT_noise	0.0503	0.0626	0.0313	0.0190	0.1129
VT_noise	0.0348	0.0377	0.0210	0.0138	0.0725
b_noise	0.0500	0.0646	0.0318	0.0182	0.1145
u_noise	1.1853	0.2383	0.1863	0.9990	1.4236
v_noise	0.2067	0.1334	0.0793	0.1274	0.3401
y_noise	0.0570	0.0573	0.0357	0.0213	0.1143
