#Parameter	median	upper	lower	3sig_low	3sig_up
teff	6023.6584	86.1991	82.6075	5941.0509	6109.8575
logg	4.3542	0.1923	0.1957	4.1585	4.5465
[Fe/H]	-0.1181	0.1421	0.1502	-0.2682	0.0241
dist	5.8347	0.0714	0.0714	5.7633	5.9061
rad	1.0008	0.0407	0.0344	0.9664	1.0415
Av	0.0000	(FIXED)
grav_mass	0.7638	0.4472	0.2804	0.4834	1.2110
lum	1.1894	0.1195	0.1062	1.0833	1.3089
AD	1.5945	0.0686	0.0582	1.5363	1.6631
age	3.1755	1.2317	2.9006	0.0365	10.883796404594356
iso_mas	1.0257	0.0685	0.0378	0.8383	1.2158083695780946
eep	349.1034	11.2838	35.4634	210.4736	451.46370974347474
H_noise	1.6113	1.8767	1.0763	0.5349	3.4879
J_noise	1.8212	2.2463	1.2069	0.6142	4.0674
U_noise	0.0843	0.0676	0.0461	0.0381	0.1518
V_noise	0.0376	0.0292	0.0218	0.0158	0.0668
B_noise	0.0488	0.0386	0.0273	0.0216	0.0874
b_noise	2.2118	2.7255	1.5010	0.7108	4.9373
u_noise	4.1970	2.5806	1.8145	2.3825	6.7776
v_noise	2.2929	2.7246	1.5515	0.7414	5.0175
y_noise	2.0737	2.5382	1.4058	0.6679	4.6119
G_noise	0.0785	0.0245	0.0201	0.0585	0.1031
RP_noise	0.0343	0.0232	0.0193	0.0150	0.0575
BP_noise	0.2208	0.0922	0.0748	0.1459	0.3130
