#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4684.1912	25.8669	25.3966	4658.7945	4710.0581
logg	4.6054	0.0514	0.0453	4.5601	4.6567
[Fe/H]	0.1281	0.0635	0.0684	0.0597	0.1916
dist	308.0878	4.9717	4.6403	303.4476	313.0596
rad	0.7630	0.0147	0.0173	0.7457	0.7776
Av	0.0206	0.0081	0.0075	0.0131	0.0287
grav_mass	0.8583	0.1060	0.0988	0.7595	0.9643
lum	0.2519	0.0117	0.0122	0.2398	0.2636
AD	0.0230	0.0006	0.0006	0.0224	0.0236
age	5.0542	5.4766	4.0518	0.1119	13.380435081079762
iso_mas	0.7850	0.0309	0.0262	0.7276	0.8456950412081101
eep	340.1277	11.4722	34.8946	214.4115	357.3359793880848
H_noise	0.1900	0.1611	0.1019	0.0882	0.3511
J_noise	0.1193	0.1518	0.0719	0.0474	0.2710
Ks_noise	0.1293	0.1279	0.0713	0.0580	0.2572
V_noise	0.1336	0.0884	0.0589	0.0746	0.2220
B_noise	0.1045	0.0659	0.0395	0.0649	0.1703
G_noise	0.0040	0.0031	0.0022	0.0018	0.0071
RP_noise	0.0090	0.0075	0.0046	0.0045	0.0165
BP_noise	0.0165	0.0136	0.0082	0.0083	0.0301
SDSS_g_noise	0.2152	0.2469	0.1269	0.0883	0.4621
SDSS_i_noise	0.2215	0.2463	0.1212	0.1003	0.4678
SDSS_r_noise	0.1554	0.1406	0.0843	0.0711	0.2960
W1_noise	0.1005	0.1084	0.0638	0.0367	0.2089
W2_noise	0.0983	0.1122	0.0615	0.0368	0.2105
NUV_noise	1.5449	1.8056	0.9410	0.6039	3.3505
TESS_noise	0.0213	0.0252	0.0138	0.0075	0.0465
