#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4680.7066	55.0615	89.6098	4591.0968	4735.7681
logg	4.2809	0.5158	2.8081	1.4727	4.7967
[Fe/H]	0.1212	0.1383	0.1335	-0.0123	0.2595
dist	307.0601	10.6456	8.3123	298.7478	317.7057
rad	0.7750	0.0386	0.0358	0.7392	0.8137
Av	0.0198	0.0148	0.0124	0.0074	0.0346
grav_mass	0.0000	0.3829	0.0000	0.0000	0.3829
lum	0.2558	0.0301	0.0283	0.2275	0.2860
AD	0.0234	0.0014	0.0013	0.0221	0.0247
age	4.6008	6.0095	4.1259	0.4749	10.6103
iso_mass	0.7939	0.0290	0.0360	0.7579	0.8229
eep	338.3998	14.5602	40.5606	297.8393	352.9601
H_noise	0.1054	0.3139	0.1011	0.0044	0.4193
J_noise	0.0477	0.2479	0.0607	-0.0130	0.2956
Ks_noise	0.0759	0.2484	0.0787	-0.0028	0.3243
V_noise	0.0762	0.1743	0.0740	0.0023	0.2506
B_noise	0.0970	0.1230	0.0683	0.0287	0.2200
G_noise	0.0036	0.0060	0.0035	0.0001	0.0096
RP_noise	0.0089	0.0150	0.0088	0.0002	0.0240
BP_noise	0.0139	0.0308	0.0131	0.0009	0.0447
SDSS_g_noise	0.0893	0.4625	0.1084	-0.0191	0.5518
SDSS_i_noise	0.1315	0.4270	0.1314	0.0001	0.5584
SDSS_r_noise	0.0878	0.2290	0.0840	0.0038	0.3167
W1_noise	0.0405	0.2000	0.0492	-0.0088	0.2405
W2_noise	0.0350	0.2351	0.0470	-0.0120	0.2701
NUV_noise	0.8614	3.4406	0.9434	-0.0820	4.3020
TESS_noise	0.0088	0.0451	0.0113	-0.0025	0.0539
