#Parameter	median	upper	lower	3sig_low	3sig_up
teff	5256.8100	51.4346	52.3214	5204.4887	5308.2446
logg	4.3764	0.5115	0.4684	3.9080	4.8879
[Fe/H]	0.0660	0.2108	0.2506	-0.1846	0.2768
dist	82.7421	0.7812	0.7956	81.9465	83.5233
rad	0.8063	0.0186	0.0161	0.7903	0.8249
Av	0.0306	0.0302	0.0377	-0.0071	0.0608
grav_mass	0.3216	0.9551	0.1819	0.1397	1.2767
lum	0.4470	0.0275	0.0247	0.4223	0.4745
AD	0.0907	0.0022	0.0021	0.0886	0.0929
age	1.3936	10.1929	1.3471	0.0465	13.427549991676333
iso_mas	0.8716	0.0306	0.1050	0.7299	0.9581533820550123
eep	340.9912	29.3091	50.0698	198.7197	380.6806701580921
H_noise	0.1278	0.2011	0.0786	0.0492	0.3289
J_noise	0.0889	0.0999	0.0553	0.0336	0.1888
Ks_noise	0.1087	0.0890	0.0664	0.0423	0.1977
V_noise	0.4092	0.5976	0.2716	0.1375	1.0067
B_noise	0.1506	0.1670	0.0824	0.0682	0.3175
BT_noise	0.1520	0.2865	0.0972	0.0548	0.4385
VT_noise	0.1207	0.1804	0.0796	0.0411	0.3012
G_noise	0.0061	0.0026	0.0029	0.0032	0.0087
RP_noise	0.0070	0.0045	0.0034	0.0036	0.0115
BP_noise	0.0075	0.0043	0.0034	0.0041	0.0118
W1_noise	0.0987	0.1066	0.0613	0.0374	0.2052
W2_noise	0.0778	0.0875	0.0471	0.0307	0.1653
