#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4848.2995	79.8539	91.9073	4756.3922	4928.1533
logg	4.7411	0.6424	1.1643	3.5768	5.3835
[Fe/H]	0.2300	0.3298	1.1476	-0.9176	0.5597
dist	131.4220	6.6901	6.7758	124.6462	138.1121
rad	0.7492	0.0535	0.0399	0.7094	0.8027
Av	0.0154	0.0702	0.0668	-0.0514	0.0856
grav_mass	0.2350	1.5567	0.1946	0.0404	1.7916
lum	0.2807	0.0429	0.0383	0.2424	0.3236
AD	0.0532	0.0047	0.0038	0.0493	0.0578
age	2.1602	10.9217	1.7079	0.4523	13.0819
iso_mass	0.7890	0.0569	0.0483	0.7406	0.8459
eep	343.0188	18.8581	47.1453	295.8735	361.8769
H_noise	0.0946	0.1802	0.0860	0.0085	0.2747
J_noise	0.0330	0.1481	0.0412	-0.0082	0.1811
Ks_noise	0.0467	0.1768	0.0553	-0.0086	0.2235
V_noise	0.0744	0.2472	0.0790	-0.0046	0.3216
B_noise	0.1482	0.2765	0.1363	0.0119	0.4247
G_noise	0.0044	0.0110	0.0044	0.0000	0.0154
RP_noise	0.0062	0.0274	0.0070	-0.0008	0.0336
BP_noise	0.0301	0.0216	0.0242	0.0059	0.0517
SDSS_g_noise	0.0692	0.1654	0.0595	0.0098	0.2346
SDSS_i_noise	0.1677	0.4070	0.1526	0.0151	0.5747
SDSS_r_noise	0.1482	0.3893	0.1453	0.0029	0.5375
W1_noise	0.0358	0.1587	0.0430	-0.0073	0.1945
W2_noise	0.0351	0.1578	0.0434	-0.0083	0.1929
