TIC Number,TOI_Number,ARIADNE_Radius,ARIADNE_rad_upper,ARIADNE_rad_lower,ARIADNE_Teff,ARIADNE_teff_upper,ARIADNE_teff_lower,ARIADNE_[Fe/H],ARIADNE_feh_upper,ARIADNE_feh_lower,ARIADNE_Logg,ARIADNE_logg_upper,ARIADNE_logg_lower,TICv8_Radius,TICv8_Radius_err,TICv8_Teff,TICv8_Teff_err,TICv8_Logg,TICv8_Logg_err,TICv8_[M/H],TICv8_[M/H]_err,Notes
1167538,2447.01,1.027,0.013,0.012,5855.72,28.5,34.53,-0.16,0.15,0.16,4.33,0.24,0.23,1.039,0.052,5825,130.9,4.4258,0.0798,99.9999,99.9999,
4646810,461.01,0.753,0.011,0.008,4845.09,18.3,25.25,0.2,0.09,0.27,4.56,0.33,0.3,0.744,0.056,4884,140.3,4.5979,0.0994,-0.01,0.06,
10837041,2411.01,0.692,0.023,0.011,4151.06,15.59,67.89,0.12,0.05,0.56,4.77,0.16,0.18,0.728,0.069,4099,122.6,4.5204,0.1107,99.9999,99.9999,
14165625,875.01,0.715,0.018,0.013,4310.6,37.59,51.32,-0.19,0.33,0.31,5.12,0.14,0.21,0.734,0.063,4317,123.2,4.5333,0.1027,99.9999,99.9999,
20318757,1027.01-02,0.653,0.016,0.01,4317.49,25.93,51.91,0.11,0.12,0.43,4.95,0.2,0.35,0.68,0.061,4272,122.7,4.5988,0.1081,99.9999,99.9999,
22221375,652.01,,,,,,,,,,,,,1.034,0.042,5940.4,110,4.4465,0.0702,0.0169,0.0166,No known stellar companions; still failed after removing sdss photometry; skipped WISE due to contamination
23434737,1203.01,1.153,0.014,0.031,5825.59,53.72,49.82,0.21,0.15,0.18,3.98,0.38,0.09,1.173,0.05,5742.2,106.4,4.3122,0.0705,-0.39,0.05,Found in WDS (.02 arcsec separation); successful after removing sdss points; skipped WISE due to contamination
31374837,431.01,0.763,0.011,0.009,4777.64,21.11,23.23,0.24,0.1,0.2,4.56,0.28,0.27,0.727,0.043,4891,111.8,4.6185,0.0817,0.02,0.08,
37749396,260.01,0.619,0.008,0.015,3973.66,50.16,19.8,-0.46,0.36,0.12,5,0.16,0.21,0.618,0.06,4049,120.9,4.6552,0.1155,99.9999,99.9999,No known stellar companions; successful after removing sdss and johnson u bands
42054565,280.01,0.79,0.007,0.012,5449.85,27.37,27.97,-0.09,0.15,0.19,4.3,0.23,0.23,0.783,0.039,5456,118.6,4.6286,0.0802,99.9999,99.9999,
47525799,225.01,0.723,0.013,0.011,4816.24,29.54,28.75,-0.1,0.18,0.22,4.33,0.3,0.22,0.711,0.048,4880,125.8,4.6355,0.0908,99.9999,99.9999,
50312495,1211.01,1.026,0.01,0.013,5847.84,36.61,39.61,-0.4,0.18,0.16,4.4,0.23,0.25,1.139,0.066,5572.9,138.6,4.316,0.0837,-0.78,0.11,
50618703,544.01,0.655,0.011,0.012,4205.81,28.68,36.33,-0.13,0.19,0.25,5.01,0.1,0.2,0.663,0.061,4220,122.9,4.614,0.1066,99.9999,99.9999,Found in WDS (.03 arcsec sep) ; successful after removing sdss photometry
52368076,125.01-03,0.854,0.011,0.011,5247.44,29.29,25.56,-0.12,0.17,0.2,4.3,0.25,0.22,0.852,0.05,5280,130.2,4.536,0.083,99.9999,99.9999,
62483237,139.01,0.689,0.014,0.011,4419.29,17.66,44.6,0.17,0.11,0.44,5.03,0.13,0.31,0.701,0.058,4405,120.3,4.5858,0.1015,99.9999,99.9999,No known stellar companions; successful after removing sdss and johnson u bands
63698669,1892.01,0.807,0.011,0.009,5408.35,24.85,32.03,-0.23,0.16,0.16,4.25,0.25,0.22,0.795,0.042,5431,124.8,4.6147,0.0804,99.9999,99.9999,
63898957,261.01-02,1.159,0.017,0.016,6082.81,34.61,43.22,-0.09,0.13,0.15,4.16,0.24,0.18,1.28,0.055,5890.3,105.3,4.2525,0.069,-0.35,0.09,No known stellar companions; removed sdss and johnson u photometry
65416038,4190.01,0.813,0.015,0.01,5047.29,29,33.2,0.11,0.12,0.22,4.22,0.23,0.2,0.816585,0.0507965,5067,128.23,4.54195,0.0876687,,,
67196573,2499.01,,(rad=1.239)0.034,0.039,5663.35,46.97,57.92,-0.67,0.22,0.1,4.05,0.34,0.13,1.132,0.053,5974,138.8,4.3709,0.0793,99.9999,99.9999,"Binary found in ExoFOP, delta mag=3.6 and sep = 1.05 arcsec"
67782629,2454.01,0.737,0.01,0.01,4602.94,18.75,31.12,0.04,0.21,0.2,4.84,0.16,0.41,0.821,0.056,4431.2,102.3,4.448,0.0884,-0.005,0.023,
70513361,262.01,,,,,,,,,,,,,0.849,0.052,5302.6,135.8,4.5396,0.0896,0.2637,0.0236,"No known stellar companions, still failed after removing sdss"
70899085,442.01,0.666,0.029,0.014,3721.11,36.86,74.64,0.11,0.1,0.53,5.12,0.11,0.35,0.608,0.018,3779,157,4.6447,0.0111,99.9999,99.9999,Successful after removing sdss and johnson u bands
71013298,2467.01,0.794,0.009,0.01,4934.65,26.79,23.49,0.03,0.13,0.17,4.56,0.19,0.3,0.809,0.052,4909,121,4.5255,0.0873,99.9999,99.9999,
77156829,696.01-02,0.339,0.006,0.004,3441.8,29.61,20.61,-0.43,0.26,0.18,5.2,0.09,0.21,0.338,0.01,3563,157,4.8857,0.0009,99.9999,99.9999,No known stellar companions; successful after removing sdss
77253676,697.01,,,,,,,,,,,,,0.968,0.052,5519,124.5,4.453,0.0824,99.9999,99.9999,Listed in Ziegler et al (2020) as a binary star
80682484,2810.01,1.048,0.012,0.011,5960.22,33.61,41.81,-0.02,0.13,0.19,4.21,0.27,0.21,1.05204,0.0487588,5910,120.883,4.42339,0.0726426,,,No known stellar companions; successful after removing sdss g band
89020549,132.01,0.919,0.015,0.014,5347.91,37.4,36.17,0.05,0.13,0.18,4.3,0.3,0.23,0.941,0.053,5304,130.5,4.4501,0.0836,99.9999,99.9999,
91555165,2345.01,0.734,0.012,0.01,4659.41,26.26,30.28,0.08,0.19,0.21,4.95,0.12,0.53,0.759,0.058,4621,125.5,4.5414,0.0956,99.9999,99.9999,
117799904,2457.01,0.615,0.019,0.009,4020.83,29.48,55.82,-0.06,0.11,0.42,5.08,0.09,0.24,0.632,0.063,4045,124.4,4.6366,0.1189,99.9999,99.9999,
118327550,244.01,0.452,0.01,0.007,3279.32,27.95,30.59,-0.14,0.19,0.25,5.09,0.07,0.47,0.407,0.012,3407,157,4.8201,0.0043,99.9999,99.9999,
119292328,512.01,0.898,0.013,0.012,5309.56,35.28,31.96,-0.11,0.15,0.18,4.42,0.32,0.25,0.883,0.049,5336,123.4,4.5103,0.0825,99.9999,99.9999,
120896927,402.01-02,,,,,,,,,,,,,0.842,0.042,5175.2,107,4.5321,0.0762,0.06,0.0212,Listed in Ziegler et al (2020) as a binary star
122613513,279.01,0.693,0.016,0.01,4475.65,23.17,47.99,0.02,0.29,0.21,5.05,0.21,0.3,0.725,0.059,4413,120.5,4.5562,0.0978,99.9999,99.9999,
123664207,2493.01,0.634,0.016,0.004,4264.14,23.4,49.44,-0.43,0.39,0.17,5.09,0.15,0.14,0.652,0.059,4242,122.6,4.6288,0.1041,99.9999,99.9999,No known stellar companions; successful after removing ps1 and sdss points
124573851,669.01,0.986,0.014,0.013,5625.37,33.57,36.35,-0.44,0.16,0.14,4.32,0.28,0.2,0.989,0.042,5625,101.4,4.4458,0.0724,-0.006,0.016,
130924120,757.01,0.77,0.011,0.009,5323.74,36.99,30.13,-0.19,0.18,0.19,4.55,0.18,0.41,0.764,0.041,5335,118.1,4.6353,0.0795,99.9999,99.9999,
139198430,1891.01,1.179,0.104,0.107,6284.33,37.12,43.19,-0.13,0.17,0.17,4.21,0.2,0.23,1.22,99.999,5984,99999.9,99.9999,99.9999,99.9999,99.9999,
142868621,2446.01,0.99,0.009,0.012,5943.02,29.65,32.33,0.06,0.11,0.15,4.12,0.23,0.2,0.987,0.048,5926,127.1,4.4824,0.0783,99.9999,99.9999,
142937186,2427.01,0.641,0.028,0.006,4132.65,8.63,89.89,0.29,0.01,0.65,4.75,0.25,0.26,0.679,0.065,4072,120.9,4.5806,0.1092,99.9999,99.9999,
146520535,942.01,0.92,0.013,0.014,4878.49,27.13,25.25,-0.32,0.19,0.14,4.52,0.26,0.3,0.91,0.057,4945,121,4.4305,0.0877,99.9999,99.9999,
147203645,166.01,0.973,0.027,0.012,5417.63,46.7,24.43,-0.02,0.15,0.12,4.4,0.19,0.23,1.002,0.054,5399,128.8,4.4093,0.0843,99.9999,99.9999,
149845414,2545.01,1.168,0.015,0.022,6057.97,37.07,37.79,0.12,0.11,0.15,4.65,0.17,0.39,1.253,0.055,5846.3,115.1,4.2653,0.0717,-0.2729,0.0669,
150030205,286.01-02,0.79,0.01,0.01,5118.72,26.84,33.73,0.02,0.15,0.24,4.32,0.21,0.24,0.794,0.047,5116,122.5,4.5734,0.086,99.9999,99.9999,
153065527,406.01,0.432,0.009,0.005,3205.66,20.95,29.26,-0.18,0.2,0.18,5.06,0.13,0.24,0.389,0.012,3324,157,4.8372,0.0027,99.9999,99.9999,
161477033,553.01-03,0.864,0.009,0.011,5314.12,27.85,27.22,0.03,0.15,0.17,4.29,0.21,0.21,0.879,0.049,5286,126.5,4.5087,0.0821,99.9999,99.9999,
164767175,266.01-02,,,,,,,,,,,,,0.919,0.042,5784,116.2,4.5273,0.0745,99.9999,99.9999,No known stellar companions; still fails after removing sdss points
167303382,802.01,0.748,0.014,0.016,5253.03,26.04,55.74,0.3,0.07,0.25,4.48,0.23,0.44,0.75,0.037,5235.8,104.6,4.6375,0.0751,99.9999,99.9999,No known stellar companions; successful after removing sdss points
167342439,707.01,0.994,0.012,0.013,5423.9,35.29,29.63,-0.05,0.16,0.22,4.45,0.23,0.29,1.021,0.05,5409.2,107.3,4.3931,0.0724,0.3276,0.0462,
167415965,214.01-02,,,,,,,,,,,,,0.798,0.05,5346.2,141.5,4.5976,0.0921,-0.36,0.0089,Found in WDS Catalog
167905035,4191.01,1.126,0.014,0.015,5767.91,39.09,37.05,-0.08,0.14,0.2,4.34,0.22,0.21,1.10194,0.0502312,5816,116.194,4.37494,0.0723557,,,No known stellar companions; successful after removing sdss and johnson u
170889511,2666.01,1.149,0.023,0.023,5129.87,32.94,41.96,-0.01,0.13,0.27,4.63,0.17,0.33,1.11,0.057,5212,110.6,4.2969,0.0762,0.08,0.03,
179034327,444.01,,,,,,,,,,,,,0.794,0.048,5091,124.4,4.5673,0.0827,99.9999,99.9999,Found in WDS Catalog 
188570092,294.01,0.769,0.018,0.014,4528.35,31.68,24.85,-0.19,0.26,0.18,4.64,0.27,0.22,0.789,0.062,4521,122.6,4.4959,0.0952,99.9999,99.9999,No known stellar companions; Skipped WISE due to contamination
201793781,248.01,,,,,,,,,,,,,1.121,0.052,5711.7,116.1,4.3471,0.0717,99.9999,0.09,Found in WDS Catalog
203377303,3493.01,1.228,0.014,0.018,5864.2,39.42,41.93,-0.08,0.14,0.2,4.34,0.22,0.24,1.21151,0.0594473,5860,126.031,4.29672,0.07941,,,
207141131,179.01,0.794,0.011,0.009,5067.5,23.71,22.79,0.42,0.04,0.14,4.16,0.32,0.19,0.803,0.048,5081,122.9,4.5585,0.0873,99.9999,99.9999,
