ID,SpT,v_mag,GAIA,RA,Dec,Distance,Parallax,radius,ref_radius,[Fe/H],ref [Fe/H],logg,ref_logg,Teff,ref_teff,Author,av,e_av,e_stilism,Gal_Lon,Gal_Lat
HD 222368,F7V,,2756363608023335808,354.9893506,5.624351601,13.65746387,73.23703629,,1.5949 ± 0.0137,,-0.03 ± .02,,4.15 ± .06,,6279 ± 20,Takeda,0,0,,92.4638291,-52.96398902
HD 5015,F8V,,427322415301550208,13.2668566,61.12472508,18.90905012,52.90172948,,1.7426 ± 0.0233,,0.13 ± .02,,4.09 ± .03,,6148 ± 15,Takeda,0,0,,123.1290478,-1.74715021
HD 190406,G0V,,1821708351374312064,301.0241184,17.06832351,17.77706626,56.26925139,,1.1153 ± 0.0211,,0.06 ± .02,,4.4 ± .05,,5944 ± 20,Takeda,0,0,,56.54927945,-7.550742157
HD 146233,G3.5V,,4345775217221821312,243.9063361,-8.371641162,14.14024216,70.73714672,,1.0100 ± 0.0090,,0.056 ± .003,,4.45 ± .01,,5814 ± 3,Ramirez,0,0,0.015,4.695213638,29.15700877
HD 101501,G6.5V,,4025850731201819392,175.2625005,34.19993958,9.577794497,104.4251704,,0.940 ± 0.010,,-0.03 ± .01,,4.53 ± .05,,5534 ± 10,Takeda,0,0,0.014,183.5495212,73.32463294
HD 166,G8V,,2860924621205256704,1.655198905,29.02071363,13.76938382,72.64189108,,0.9172 ± 0.0090,,0.180 ± 0.030,,4.580 ± 0.060,,5577 ± 44,Valenti,0,0,,111.2635997,-32.83259331
GJ 892,K3V,5.57,2009481748875806976,348.337734,57.16966644,6.542490036,152.8640039,,0.7784 ± 0.0053,,0.120 ± 0.030,,4.560 ± 0.060,,4835 ± 44,Valenti,0,0,0.014,109.8984576,-3.198601332
GJ 338B,K7V,7.7,1022456104850892928,138.5913118,52.68342944,6.334506629,157.8824911,,0.5673 ± 0.0137,,0.34,,4.49,,3763,Luck,0,0,0.014,164.9346184,42.67227503
GJ 380,K7V,6.59,823773494718931968,152.832929,49.4519889,4.870973229,205.314782,,0.6415 ± 0.0048,,-0.030 ± 0.180,,4.510 ± 0.220,,3970 ± 220	,Woolf,0,0,0.014,165.866096,52.1456007
GJ 338A,M0V,,1022456139210632064,138.5835616,52.68408017,6.334288365,157.8879308,,0.5773 ± 0.0131,,0.17,,4.69,,3973,Luck,0,0,0.014,164.9355106,42.66749543
GJ 880,M1.5V,,2828928008202069376,344.1402217,16.55216937,6.867829509,145.6234101,,0.5477 ± 0.0048,,0.200 +/- 0.050,,4.74,,3720,Lindgren,0,0,,87.06184494,-38.19047221
GJ 687,M3V,,1637645127018395776,264.1040526,68.33349764,4.55015419,219.7897721,,0.4183 ± 0.0070,,0.150 +/- 0.090,,4.820 +/- 0.030,,3340 +/- 20,Woolf,0,0,0.014,98.60232668,31.96408215
