NEW Set of TICs to analyze,,TIC_Number,TOI_Number,SG2/4 Status,"ID (HD, HIP, TYC, etc)",GAIA,Distance,Parallax,Gaia_Source,RA,pm_RA,Dec,pm_Dec,Reddening_mag,Reddening_uncertainty_min,Reddening_uncertainty_max,av,e_av,Teff,e_Teff,logg,e_logg,metallicity,e_metallicity,author,bibcode,SpType,Mult?,Gal_Lon,Gal_Lat
1167538,,1167538,2447.01,STPC,,4877544322252002048,149.7327,6.695568,DR3,70.99759,-0.29362,-31.9066,-31.6506,0.002,0.014,0.014,0.00662,0.04634,,,,,,,,,,N,233.1863977,-39.77861782
4646810,,4646810,461.01,PC,HD 15906,5175239363214344960,45.77391,21.86351,DR3,38.27123,-172.917,-10.3522,-92.2178,0.001,0.014,0.014,0.00331,0.04634,4884,96,4.49,0.18,-0.01,0.06,Sousa,2011A&A...533A.141S,,N,182.7785223,-60.77695972
10837041,,10837041,2411.01,PC,,2471334872292716288,59.54387,16.81134,DR3,20.92244,-117.921,-8.70181,-95.4026,0.001,0.013,0.013,0.00331,0.04303,4250,250,3.5,0.5,0,0.5,TRES,,,N,146.9174816,-70.05660536
14165625,,14165625,875.01,VPC?,,4820828591913853696,106.3409,9.420719,DR3,78.03722,21.20735,-37.7085,46.50964,0.001,0.014,0.014,0.00331,0.04634,,,,,,,,,,N,241.6196566,-35.06362196
20318757,,20318757,1027.01-02,VPC+/PC,,5452615261794584960,56.50516,17.7145,DR3,167.1333,-87.5316,-29.6531,13.04048,0.001,0.015,0.015,0.00331,0.04965,,,,,,,,,,N,277.6124912,28.11047284
22221375,,22221375,652.01,P,HD 86226,5660492297395345408,45.63486,21.93007,DR3,149.1235,-177.127,-24.0992,47.0994,0.001,0.014,0.014,0.00331,0.04634,5947,21,4.54,0.04,0.02,0.02,Santos,2013A&A...556A.150S,,N,259.3950847,23.62931261
23434737,,23434737,1203.01,VP,HD 97507,5402390257832925952,65.03466,15.39342,DR3,168.2268,292.9705,-34.4069,-44.5383,0.002,0.016,0.016,0.00662,0.05296,5701,47,4.29,0.08,-0.39,0.05,Bensby,2014A&A...562A..71B,,Y,280.7833709,24.19180962
31374837,,31374837,431.01,VPC,CD-26 2288,2908664557091200768,32.64276,30.65167,DR3,83.26925,16.88616,-26.7238,150.7788,0,0.014,0.014,0,0.04634,4891,113,4.41,0.22,0.02,0.08,Sousa,2011A&A...533A.141S,,N,230.330051,-28.13733199
37749396,,37749396,260.01,CPC,,2428162410789155328,20.21887,49.47575,DR3,4.773013,-36.3254,-9.96619,-301.491,0,0.014,0.014,0,0.04634,4250,250,3.5,0.5,0,0.5,TRES,,,N,97.44511523,-71.21821966
42054565,,42054565,280.01,LEPC,,5011437114501852800,99.79676,10.03737,DR3,24.16838,-55.8272,-36.414,-81.894,0.001,0.013,0.013,0.00331,0.04303,,,,,,,,,,N,259.8035738,-76.65306877
