TIC ID,TOI,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,RA,Dec,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Metallicity, Stellar Metallicity err,Sectors,Date TOI Alerted (UTC),Date TOI Updated (UTC),Date Modified,Comments
231663901,101.01,KP,KP,12.4069,0.006,14:56.9,-55:52:18.71,1.430343,0.00004,1.637794,0.026852,21.90892,0.260952,19976.63002,240.31696,13.576368,0.683587,1281.272865,1525.914348,78.23216,375.31,4.411,5600,,4.48851,,0.890774,0.043847,,,27,9/5/18,9/18/20,6/1/21 12:02,WASP-46 b
149603524,102.01,KP,KP,9.7109,0.006,48:33.6,-63:59:17.98,4.411869,0.000068,3.765322,0.016264,15.257948,0.0731,13954.80603,67.325096,14.617671,0.655605,673.803949,1299.430743,183.5356,175.631,0.588,6280,,4.32092,,1.21427,0.054221,0.24,0.05,"1,2,3,4,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,36,37",9/5/18,7/1/21,7/13/21 12:04,WASP 62 b
336732616,103.01,KP,KP,11.5232,0.008,49:49.8,-24:25:43.3,3.547854,0.000149,3.494333,0.049205,11.377523,0.133944,10424.3718,123.359314,14.581841,0.196435,1212.004376,1504.858953,92.5,411.211,7.752,6351,,4.22896,,1.4,,,,1,9/5/18,10/27/20,6/1/21 12:02,HATS-3
231670397,104.01,KP,KP,9.8638,0.006,19:47.9,-58:08:56.16,4.087493,0.00032,5.602984,0.075253,3.826381,0.051854,3518.024086,47.758137,13.667798,0.670757,2242.218597,1755.048963,34.222645,316.678,2.9655,6036,,3.93359,,2.21867,0.102573,,,"1,27",9/5/18,9/18/20,6/1/21 12:02,WASP-73
144065872,105.01,KP,KP,9.4995,0.006,29:49.9,-48:00:11.16,2.18467,0,2.718,0.014,12.448485,0.000077,11400,0.071095,14.167,0.68399,998.015,1565,9,137.544,0.7905,5630,,4.37759,,1.24,0.06,,,"1,28",9/5/18,11/9/20,6/1/21 12:02,WASP-95
38846515,106.01,KP,KP,10.3157,0.006,35:50.4,-64:01:37.34,2.849535,0.000098,3.760864,0.034719,7.891853,0.061151,7242.312292,56.320515,15.822209,0.718955,2935.459795,1877.322061,124.24465,364.411,2.729,6900,,4.438,,1.77457,0.0795,,,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37",9/5/18,7/1/21,7/13/21 12:04,WASP-100b
92352620,107.01,KP,KP,9.6433,0.006,55:08.0,-34:08:08.7,3.949959,0.000128,4.552883,0.028823,14.009334,0.100987,12820.1855,93.008575,19.729856,0.869864,1364.201304,1550.027362,131.48947,211.211,2.4835,6153,,4.18077,,1.71036,0.074613,0.22,0.1,"1,27",9/5/18,9/18/20,6/1/21 12:02,WASP-94A (planet host)
289793076,108.01,KP,KP,13.163,0.01,07:50.8,-26:05:48.19,3.044616,0.000308,2.561663,0.099007,23.639619,0.907821,21537.57521,835.78503,11.916674,0.456252,315.909422,1075.252335,20.395718,421.855,8.339,5523,,4.52192,,0.809868,,,,"1,28",9/5/18,10/5/20,6/1/21 12:02,HATS-13
29344935,109.01,KP,KP,13.2366,0.007,52:51.7,-25:41:14.55,2.766764,0.00027,2.643398,0.116306,17.236283,0.546449,15749.85667,503.17117,12.499106,0.530989,505.883054,1209.573553,17.233343,513.011,9.1275,5346,,4.48823,,0.984866,,,,"1,28",9/5/18,10/1/20,6/1/21 12:02,HATS-14
281459670,110.01,KP,KP,11.6714,0.006,22:28.4,-59:56:33.32,3.174166,0.00018,2.678868,0.062373,17.156276,0.355732,15677.32477,327.5873,14.755899,0.867575,718.965491,1320.677445,35.681557,342.14,2.912,5943,,4.42524,,1.15706,0.063367,-0.1,0.1,"1,2,28,29",9/5/18,11/6/20,6/1/21 12:02,HATS-30
355703913,111.01,KP,KP,13.183,0.006,03:05.9,-62:28:09.54,2.106098,0.000069,1.574766,0.083967,13.580831,0.57385,12430.50297,528.39557,16.683676,14.132685,,,30.581211,508.842,3.896,5380,,4.4337,,0.98,,0.245387,0.0875268,"1,2",9/5/18,10/2/20,6/1/21 12:02,HATS-34
388104525,112.01,KP,KP,11.6035,0.006,43:44.1,-65:11:37.61,2.499739,0.000071,2.868659,0.035676,15.969183,0.148132,14600.52412,136.4257,13.841796,0.723121,907.891996,1400.00084,104.74484,302.448,2.004,5650,,4.28867,,1.13732,0.057776,,,"1,2,3,4,7,11,27,28,29,30,31,34,37",9/5/18,7/9/21,7/13/21 12:04,WASP-119 b
97409519,113.01,KP,KP,12.1893,0.006,10:51.4,-30:44:58.99,3.372877,0.000147,2.63426,0.043644,18.796923,0.230641,17163.60419,212.40587,14.201803,0.154789,615.165921,1270.187448,81.3,448.637,7.508,6050,,4.45061,,1.02,,,,1,9/5/18,10/27/20,6/1/21 12:02,WASP-124
25155310,114.01,KP,KP,10.6103,0.006,13:29.9,-69:13:35.73,3.288742,0.000147,3.435937,0.048154,7.564411,0.079548,6942.866062,73.26365,10.559197,0.547214,759.352049,1338.845742,78.48167,216.526,0.932,5800,,4.28004,,1.24175,0.06108,0.20683,0.0458093,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,36,37",9/5/18,7/1/21,7/13/21 12:04,WASP-126 b
281541555,115.01,KP,KP,13.0417,0.006,26:48.6,-56:18:57.97,4.743395,0.000469,2.315485,0.127594,13.195579,0.503919,12080.021,464.01926,9.854356,0.526957,209.709517,970.564237,16.589449,453.808,3.894,5377,185,4.42476,2.00401,0.877585,,,,"1,2,28,29",9/5/18,11/6/20,6/1/21 12:02,HATS-46
238176110,116.01,KP,KP,11.0443,0.006,51:23.1,-70:09:10.3,2.798686,0.00005,2.331443,0.023035,18.128744,0.10093,16558.56501,92.95573,11.711368,0.725567,332.53955,1089.132144,175.47505,149.942,0.5175,4920,,4.49371,,0.906655,0.055377,0.32,0.08,"27,28",9/5/18,10/5/20,6/1/21 12:02,WASP-91
322307342,117.01,PC,KP,11.7806,0.006,00:01.5,-58:54:17.01,3.586586,0.000399,3.317284,0.109222,6.193585,0.17576,5688.262909,161.86824,16.423135,0.964571,1787.402926,1658.346833,24.577686,603.955,10.2025,5704.8,124.8,3.84,0.08,2.00441,0.105699,-0.25,0.0707107,"1,2,28,29",9/5/18,11/6/20,6/1/21 12:02,HATS-68
266980320,118.01,PC,CP,9.179,0.006,18:14.2,-56:54:14.35,6.03446,0.00001,2.053,0.324,1.825571,0.000846,1680,0.779068,4.63917,0.263023,139.428,957,39,94.1719,0.2512,5586,187,4.36763,0.270247,1.05,0.05,,,"1,28",9/5/18,10/26/20,6/1/21 12:02,HD 219666 b
278683844,119.01,PC,PC,9.2789,0.006,36:57.2,-58:00:58.15,5.541128438,6.94534E-06,2.797366172,0.08040263,0.644758,0.016624,593.6678059,15.311241,2.13836068,0.19622079,122.6134424,848.7001345,35.426395,66.6187,0.1003,5332,184,4.56429,0.272717,0.819657028,0.048995,,,"1,2,3,4,5,6,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37",8/30/18,7/28/21,8/10/21 0:00,Some depth-aperture correlation. TFOP work in progress. Multi candidate. Centroid offset but not centered on another star.
278683844,119.02,PC,PC,9.2789,0.006,36:57.2,-58:00:58.15,10.691736,0.000024,3.351444,0.118344,0.560041,0.021562,515.684139,19.858896,2.095237,0.1689,51.04322,681.717222,22.655346,66.6187,0.1003,5332,184,4.56429,0.272717,0.819657,0.048995,,,"1,2,3,4,5,6,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36",10/19/18,7/14/21,7/26/21 12:04,outer candidate in potential multi
394137592,120.01,KP,CP,7.1062,0.006,17:47.3,-66:21:32.14,11.535076,0.001035,8.555958,0.069027,2.597913,0.031416,2389.90625,28.935114,12.215808,1.480912,,,32.900002,79.5702,0.17345,5479.299805,57,3.77,0.08,2.48771,0.298399,-0.02,0.09,1,9/5/18,12/17/19,6/1/21 12:02,
207081058,121.01,PC,APC,9.9358,0.006,07:28.2,-41:48:55.84,14.76367,0.00027,6.143,0.188,15.89148,0.001088,14530,1.00224,15.9573,0.764266,234.125,1089,119,182.169,1.0865,6053,193,4.3135,0.321619,1.23,0.06,,,"1,28",9/5/18,10/27/20,6/1/21 12:02,low-mass EB; initially thought to be a warm Jupiter candidate with a possible secondary
