TIC,TOI,SG1Disposition,Rplanet,Period,CK2016_Mass,PredictedK,Mstar_TIC8,Rstar_TIC8,Teff_TIC8
47525799,225.01,STPC,7.622,9999,45.364,1.57,0.8,0.71,4856
2760710,227.01,STPC,4.587,9999,19.129,1.6,0.21,0.24,3192
201292545,289.01,STPC,16.05,9999,317,9.28,1.02,1.69,5690
259592689,429.01,STPC,10.325,9999,75.993,2.44,0.89,0.95,5205
144138509,729.01,STPC,4.215,9999,16.568,0.46,1.12,1.23,6209
158276040,1192.01,STPC,11.629,9999,93.021,2.4,1.23,1.28,6145
365938305,1262.01,STPC,2.316,9999,5.987,0.19,0.94,0.9,5396
343019899,1386.01,STPC,6.557,9999,35.116,1.02,1.03,1.03,5684
249945230,1563.01,STPC,4.901,9999,21.41,0.79,0.72,0.74,4582
251384275,1565.01,STPC,23.893,9999,317,5.71,2.11,2.18,6580
370759867,1581.01,STPC,18.528,9999,317,9.04,1.06,0.97,5807
304142124,1793.01,P,4.052,9999,15.497,0.5,0.87,0.87,5148
207425167,1812.01,STPC,7.043,9999,39.66,1.32,0.84,0.74,5017
347332255,1835.02,STPC,2.54,9999,7.004,0.22,0.91,0.78,5301
323295479,1861.01,STPC,10.96,9999,84.105,2.48,1.01,1.06,5485
328933398,1873.02,STPC,3.959,9999,14.897,0.44,1.02,0.97,5539
63698669,1892.01,STPC,1.404,9999,2.557,0.08,0.95,0.8,5431
264544388,1893.01,STPC,3.965,9999,14.932,0.33,1.54,1.46,6929
384159646,1895.01,STPC,7.191,9999,41.087,0.97,1.41,1.37,6362
174302697,1896.01,STPC,8.956,9999,59.665,1.39,1.44,1.61,6601
420645189,1897.01,STPC,25.455,9999,317,8.91,1.08,1.03,5821
420645189,1897.02,STPC,7.641,9999,45.556,1.28,1.08,1.03,5821
91987762,1898.01,PC,7.164,9999,40.823,1.05,1.24,1.61,6375
172370679,1899.01,P,11.325,9999,88.921,3.7,0.6,0.62,3930
58463434,2003.01,STPC,15.691,9999,317,7.11,1.52,2.46,6960
219466784,2007.01,STPC,3.156,9999,10.134,0.32,0.9,0.9,5222
243187830,2009.01,STPC,1.734,9999,3.662,0.13,0.76,0.7,4542
26547036,2010.01,STPC,2.369,9999,6.221,0.18,1.05,1.07,5787
