source_id,l,b,distance
1167538,233.1863977,-39.77861782,149.7327
4646810,182.7785223,-60.77695972,45.77391
9033144,46.88745161,-67.49917392,159.0725
10837041,146.9174816,-70.05660536,59.54387
14165625,241.6196566,-35.06362196,106.3409
20318757,277.6124912,28.11047284,56.50516
22221375,259.3950847,23.62931261,45.63486
23434737,280.7833709,24.19180962,65.03466
31374837,230.330051,-28.13733199,32.64276
36734222,252.7867792,37.86999045,87.2828
37749396,97.44511523,-71.21821966,20.21887
42054565,259.8035738,-76.65306877,99.79676
44797824,223.2721116,-45.92620876,136.8958
46096489,329.234592,38.0971826,193.2679
47423120,30.66605709,-62.29427274,185.6954
47525799,32.33985651,-63.81846902,116.06
50312495,295.7704468,-42.96738272,132.8453
50618703,203.5383863,-18.38573497,40.94434
52368076,296.3571579,-49.9006842,110.5545
62483237,9.760161684,-57.99079742,42.4548
63698669,345.052305,-80.47182644,97.58715
63898957,161.5915952,-86.56182429,113.8602
67196573,217.2852409,-17.00675439,247.0254
67782629,201.1808727,-37.66222241,92.08812
70513361,230.5434566,-72.38918916,44.17648
70899085,206.0398133,-39.73403064,52.38683
71013298,207.5480541,-38.63345766,94.30446
77156829,243.2926237,-42.9177425,19.87166
77253676,239.2198249,-41.50944008,93.07312
89020549,353.4141297,-57.8180177,164.9068
91555165,237.1569777,-62.41353752,81.43496
101230735,349.9947157,-30.6087507,142.4721
117799904,210.0338469,-34.77238287,61.45229
117979694,216.2932018,-35.08284714,103.8422
118327550,313.7910173,-80.21626788,22.08344
119292328,246.5637458,-21.08708615,67.27284
120896927,219.8596874,-68.7086559,44.89304
122613513,231.4906793,-64.94275802,74.06158
123664207,227.2446079,-20.82101023,92.96094
124573851,252.3369853,43.94698573,142.837
125405602,322.313185,37.06001137,39.73562
129839175,239.1836336,-53.05741035,215.9818
130924120,298.4848818,27.14874911,60.36953
136916387,327.0772501,7.378200657,14.74281
139198430,344.3360414,-61.32573294,113.2225
142868621,229.3256935,-56.66212251,159.153
142937186,229.6081616,-55.51694851,28.55305
144000801,339.7802727,-52.81034637,169.41
144065872,346.1338796,-55.51348147,138.4869
144440290,331.3139072,-69.2689254,85.54453
146520535,220.9804593,-31.77462582,151.8405
147203645,356.393169,-46.98021867,172.6275
149301575,269.3524327,-33.08698743,191.3437
149845414,232.5170778,26.90839684,105.5354
150030205,269.6345802,-29.15957954,59.33354
153065527,249.5596069,-56.80790175,30.92385
161477033,251.02971,-39.29712295,107.995
164767175,180.3462557,-74.92829178,101.8654
166739520,271.1608287,-60.52954416,158.1304
167303382,279.0003272,-26.89234543,28.07453
167342439,277.7334647,-26.47939816,130.5593
167415965,281.5367178,-26.62843614,38.96972
168871868,230.9573596,-44.59890532,260.8627
170889511,234.9571671,30.20063268,32.29713
176778112,237.6777932,-59.13959795,110.847
179034327,224.7921623,-44.58125087,57.5111
183537452,343.3206401,-72.18171176,87.5814
188570092,43.77781437,-57.171097,127.048
200807066,263.3579036,-51.07999846,110.7414
201793781,279.0877973,-58.04065117,76.18808
204376737,38.73105162,-67.19550615,200.3887
207141131,273.9281903,-53.27788229,38.65826
209459275,228.9147127,-60.18390284,233.8143
219205407,259.444706,-26.94989024,167.1973
219229644,259.2174742,-45.32303993,53.86343
219239945,262.8854738,-43.9481105,217.3871
219338557,319.7766504,-55.69239795,48.5198
219344917,257.5279986,-38.21388416,67.94806
219388773,257.764367,-36.74619764,106.8628
224225541,356.7337553,-70.48424207,101.178
230982885,289.6419135,-60.12745628,151.1599
231728511,258.4112121,-33.99159185,38.03862
231912935,307.010939,-53.16175476,167.5879
234345288,291.9887823,-43.22358554,54.34059
234994474,321.9545964,-53.56037354,25.19254
237913194,294.6131765,-55.76467977,309.4534
237928815,272.6231077,-45.18831055,120.7832
238176110,310.2213126,-46.11605689,151.5664
250484865,211.5948169,-9.034951556,95.89483
251094370,175.2774179,-57.79797532,291.1026
251848941,357.2956323,-84.10341799,62.96028
255685030,261.3387386,-23.77075928,158.2849
258804746,160.6381802,-47.06597581,36.0301
259592689,261.7254476,-39.03504995,120.2666
259701242,261.5931651,-38.16197869,64.33571
260004324,263.5573236,-28.57431964,29.81243
260417932,263.2475745,-25.70371648,85.72744
260708537,267.8375526,-25.12315632,15.21954
261136679,292.5134984,-29.77632079,18.29307
261257684,295.324498,-28.52474285,46.09952
262435954,197.4001694,-25.19471803,210.9461
264979636,210.7364896,15.42417911,158.934
266980320,325.6110448,-55.9280498,94.2912
270380593,159.0904202,-54.7602096,122.0958
271478281,9.603494542,-26.770726,19.55405
274194927,183.3749417,-40.85817369,311.9968
277683130,330.6117153,-44.86996408,192.5218
277871306,244.5565394,46.43146004,155.4067
278683844,267.3771168,-24.61618857,66.83816
282576340,206.9458417,-11.22203213,154.993
299799658,296.4967069,-37.81241413,82.46352
300013921,279.2925935,-23.5418524,145.9253
300293197,279.8543051,-22.48896201,
300812741,283.1481355,-21.13076433,59.95412
307210830,281.8155011,-17.59292896,10.61015
308883808,252.7250447,34.51594341,331.7672
308919449,279.186308,-17.03764547,130.0291
309792357,268.7660976,-34.55054072,101.9095
311183180,180.3219434,-37.55080019,62.51162
314865962,288.4918486,-39.5271573,149.0987
316769613,8.519335979,-73.26266218,130.975
318753380,170.2155212,-51.35316804,23.92042
318812447,168.5088577,-48.72889395,178.1388
320004517,343.0619236,-27.69910581,56.84409
323295479,296.2371804,-23.71993311,135.1109
327301957,322.204938,-34.21610592,107.8295
339961200,270.1637755,-18.10292543,95.74658
344926234,236.0045787,44.29826419,93.30325
348770361,297.8159482,-33.41786448,
350293646,224.9109971,25.83586854,100.5366
354519019,249.4800618,-32.57849187,102.9516
364393429,276.3057188,-18.51645701,113.9827
372172128,323.7727956,-35.17671907,265.1673
377064495,230.8491142,42.7298725,84.62241
382068562,263.9143311,-35.04162225,252.6107
382626661,278.0029999,-18.33527119,82.63113
385332171,287.6983291,45.03632423,321.3041
398943781,300.6537639,32.19222866,163.8714
403224672,328.7020281,-49.93594631,47.81317
405425498,320.6150254,-44.11075063,168.7178
406976746,307.4913343,-21.56186871,61.35388
413248763,253.8846597,22.0829667,9.437354
415969908,43.77744195,-62.01921553,33.74524
420051632,165.4747527,-53.86089337,86.43676
423670610,106.1938699,-79.68911729,359.463
425997655,277.0263416,-44.84770881,39.11637
429304876,274.3278529,35.1904995,83.77138
437242640,272.9185861,32.5319038,131.5083
440887364,336.9319015,29.77675301,27.52126
441420236,12.65461309,-36.80249502,9.7157
444013020,219.4061514,30.91918534,276.3009
453211454,211.2358373,17.61359327,48.89266
454224694,199.4322829,-19.37368459,276.8906
