source_id,l,b,distance,distance[pc][stilism],reddening[mag][stilism],distance_uncertainty[pc][stilism],reddening_uncertainty_min[mag][stilism],reddening_uncertainty_max[mag][stilism],Green2015_EBV,Green2019_EBV,,,,
1167538,233.1863977,-39.77861782,149.7327,149.733,0.002,17,0.014,0.014,0.001980527,0,,,,
4646810,182.7785223,-60.77695972,45.77391,45.774,0.001,14,0.014,0.014,0.012621878,0,,,,
9033144,46.88745161,-67.49917392,159.0725,159.072,0.006,19,0.015,0.015,0.00016043,0,,,,
10837041,146.9174816,-70.05660536,59.54387,59.544,0.001,14,0.013,0.013,nan,0,,,,
14165625,241.6196566,-35.06362196,106.3409,106.341,0.001,15,0.014,0.014,0.001173166,nan,,,,
20318757,277.6124912,28.11047284,56.50516,56.505,0.001,12,0.015,0.015,0.000976406,0,,,,
22221375,259.3950847,23.62931261,45.63486,45.635,0.001,14,0.014,0.014,nan,0,,,,
23434737,280.7833709,24.19180962,65.03466,65.035,0.002,12,0.016,0.016,0.000362147,nan,,,,
31374837,230.330051,-28.13733199,32.64276,32.643,0,13,0.014,0.014,0.007301986,0,,,,
36734222,252.7867792,37.86999045,87.2828,87.283,0.002,14,0.014,0.014,0.000669735,0,,,,
37749396,97.44511523,-71.21821966,20.21887,20.219,0,13,0.014,0.014,nan,0,,,,
42054565,259.8035738,-76.65306877,99.79676,99.797,0.001,16,0.013,0.013,0.004614847,nan,,,,
44797824,223.2721116,-45.92620876,136.8958,136.896,0.002,16,0.014,0.014,0.021222025,0,,,,
46096489,329.234592,38.0971826,193.2679,193.268,0.04,19,0.022,0.022,0.007341555,0.08,,,,
47423120,30.66605709,-62.29427274,185.6954,185.695,0.007,21,0.016,0.016,0.007144683,0,,,,
47525799,32.33985651,-63.81846902,116.06,116.06,0.003,14,0.015,0.015,nan,0,,,,
50312495,295.7704468,-42.96738272,132.8453,132.845,0.005,15,0.016,0.016,0.000207656,nan,,,,
50618703,203.5383863,-18.38573497,40.94434,40.944,0,13,0.014,0.014,nan,0,,,,
52368076,296.3571579,-49.9006842,110.5545,110.555,0.003,14,0.015,0.015,nan,nan,,,,
62483237,9.760161684,-57.99079742,42.4548,42.455,0.002,12,0.015,0.015,nan,nan,,,,
63698669,345.052305,-80.47182644,97.58715,97.587,0.001,14,0.014,0.014,0.045379493,nan,,,,
63898957,161.5915952,-86.56182429,113.8602,113.86,0.001,17,0.013,0.013,0.078508094,0,,,,
67196573,217.2852409,-17.00675439,247.0254,247.025,0.019,23,0.02,0.02,0.010155434,0.01,,,,
67782629,201.1808727,-37.66222241,92.08812,92.088,0.001,13,0.014,0.014,0.000378081,0,,,,
70513361,230.5434566,-72.38918916,44.17648,44.176,0,14,0.014,0.014,0.004259312,0,,,,
70899085,206.0398133,-39.73403064,52.38683,52.387,0,13,0.014,0.014,0.009984834,0,,,,
